lon,lat,hcho_value,date
93.04377197029612,17.84529409148973,0.00012083926068738922,2024-10-01
95.17123364035182,7.0179808163830035,9.796244396781028e-05,2024-10-01
80.52661988659423,12.507519960757826,0.0001295883838969028,2024-10-01
95.22231562536966,9.045319492627211,0.0001044344950621454,2024-10-01
81.90500795268831,34.29287783107959,4.524466369314801e-05,2024-10-01
92.13329023087412,36.247414183157645,4.705185833462949e-05,2024-10-01
82.51800737376252,26.881699784235643,0.00023447257018169575,2024-10-01
72.15452454284416,33.00431944214143,0.00019782992610524792,2024-10-01
71.96818437084032,29.038001098330376,0.00019013791635216166,2024-10-01
81.2709846744674,25.839097149629023,0.00023245273541133395,2024-10-01
92.45656452874071,18.342608691118354,0.00011562601117739685,2024-10-01
88.44529675192092,27.50789479177599,3.970536066556218e-05,2024-10-01
96.89625681851875,20.70600652842631,0.00010423968235756642,2024-10-01
74.80996959447023,34.246403482172795,0.0001324087135287296,2024-10-01
76.95236700330273,6.7968149851440804,9.746881609043958e-05,2024-10-01
93.82372900606617,10.33658714889406,8.596771683681785e-05,2024-10-01
81.17618520952034,10.629955303726954,9.293402425222129e-05,2024-10-01
70.9266807162796,36.15768149354484,2.6265338144889903e-05,2024-10-01
70.31378201158948,8.516483050547334,0.00010808769941121857,2024-10-01
76.16206928521883,13.114927920729818,0.00017259632954069428,2024-10-01
95.25755482707615,28.21418350816835,0.00015721324003135982,2024-10-01
75.13740398130801,30.83282958804432,0.00027366063274516427,2024-10-01
89.38015672826808,25.831889764846906,0.00018096256643104625,2024-10-01
77.35069648015686,14.02149135885307,0.00011706147553812493,2024-10-01
71.39175576594573,35.276396958001406,0.00011057657108013046,2024-10-01
91.31596899753276,18.908250492838196,0.00012862170782191261,2024-10-01
69.4075893574908,17.401720564502916,0.00013854567917058125,2024-10-01
82.19212654772053,6.258892810498604,0.00010849587056370765,2024-10-01
87.55911059981591,30.76116369625651,4.8117315274938386e-05,2024-10-01
86.01188974905595,29.35291395837938,6.57003929224031e-05,2024-10-01
95.62132351013834,14.895414990718667,0.00012887102273863085,2024-10-01
85.13768703981735,28.086467642898263,9.625019430010741e-05,2024-10-01
75.63910800973888,29.217812519008383,0.0002437621117971693,2024-10-01
74.71471585159816,22.881732642104204,0.00017884901824215678,2024-10-01
91.71767242828267,18.630966959936334,0.00011531185516367333,2024-10-01
85.39887600287877,16.27892913350821,9.809974412405363e-05,2024-10-01
69.1583814063977,26.942854367999445,0.0001636901135013743,2024-10-01
85.36114931042914,13.160764116855505,0.00010298427446621835,2024-10-01
80.10562839157068,19.161348313543662,0.00019723288219840288,2024-10-01
90.0589856052306,15.950529079811108,9.382669954272116e-05,2024-10-01
82.8696881696653,11.412627512324626,0.00010164899333480997,2024-10-01
83.08912596001078,35.42946922711701,3.6165041617893414e-05,2024-10-01
71.92140601964641,14.074057530617477,0.0001443341939782877,2024-10-01
69.64794179160563,8.538098513734113,7.955361273210276e-05,2024-10-01
76.00043899742204,8.095210466064191,0.00012320017830911762,2024-10-01
69.80201348723824,11.146509432638702,0.00010887847443265374,2024-10-01
76.46562847340192,28.80144701760962,0.00023784396354121552,2024-10-01
89.24847736121323,30.65538355986651,4.536789043677835e-05,2024-10-01
95.74707685158194,29.740511225356688,7.809858595158769e-05,2024-10-01
73.49730700262599,13.044083572734316,0.00013732773522782577,2024-10-01
83.34973609392004,7.14971529041653,0.00011424610734053405,2024-10-01
72.73514680829445,21.871618726102664,0.00022979418234657007,2024-10-01
91.95147868412948,9.794342475517878,7.916248449294319e-05,2024-10-01
72.6541538151209,8.517806437614128,9.858512402971448e-05,2024-10-01
75.47648726815086,25.56332557326753,0.00017983078298941865,2024-10-01
85.86544803559613,28.70435357315122,5.68527335278355e-05,2024-10-01
84.88739182036355,16.622083997559272,0.0001147566096613854,2024-10-01
