lon,lat,hcho_value,date,nearby_fire_count,nearby_fire_frp
93.04377197029612,17.84529409148973,0.0001208392606873,2024-10-01,0,0.0
95.17123364035182,7.017980816383004,9.796244396781028e-05,2024-10-01,0,0.0
80.52661988659423,12.507519960757826,0.0001295883838969,2024-10-01,108,326.78999999999996
95.22231562536966,9.045319492627211,0.0001044344950621,2024-10-01,0,0.0
81.90500795268831,34.29287783107959,4.524466369314801e-05,2024-10-01,0,0.0
92.13329023087412,36.247414183157645,4.705185833462949e-05,2024-10-01,0,0.0
82.51800737376252,26.881699784235643,0.0002344725701816,2024-10-01,2344,7958.01
72.15452454284416,33.00431944214143,0.0001978299261052,2024-10-01,0,0.0
71.96818437084032,29.038001098330376,0.0001901379163521,2024-10-01,154,683.01
81.2709846744674,25.839097149629023,0.0002324527354113,2024-10-01,2514,9097.04
92.45656452874071,18.342608691118357,0.0001156260111773,2024-10-01,0,0.0
88.44529675192092,27.50789479177599,3.970536066556218e-05,2024-10-01,15,44.79999999999999
96.89625681851876,20.70600652842631,0.0001042396823575,2024-10-01,0,0.0
74.80996959447023,34.246403482172795,0.0001324087135287,2024-10-01,374,1666.58
76.95236700330273,6.79681498514408,9.746881609043958e-05,2024-10-01,1,1.27
93.82372900606616,10.33658714889406,8.596771683681785e-05,2024-10-01,0,0.0
81.17618520952034,10.629955303726954,9.293402425222129e-05,2024-10-01,0,0.0
70.9266807162796,36.15768149354484,2.6265338144889903e-05,2024-10-01,0,0.0
70.31378201158948,8.516483050547334,0.0001080876994112,2024-10-01,0,0.0
76.16206928521883,13.114927920729818,0.0001725963295406,2024-10-01,73,287.02
95.25755482707616,28.21418350816835,0.0001572132400313,2024-10-01,423,1158.04
75.13740398130801,30.83282958804432,0.0002736606327451,2024-10-01,9544,51147.75
89.38015672826808,25.831889764846903,0.000180962566431,2024-10-01,63,182.55
77.35069648015686,14.02149135885307,0.0001170614755381,2024-10-01,518,1082.8899999999999
71.39175576594573,35.276396958001406,0.0001105765710801,2024-10-01,0,0.0
91.31596899753276,18.9082504928382,0.0001286217078219,2024-10-01,0,0.0
69.4075893574908,17.401720564502916,0.0001385456791705,2024-10-01,0,0.0
82.19212654772053,6.258892810498604,0.0001084958705637,2024-10-01,0,0.0
87.55911059981591,30.76116369625651,4.811731527493839e-05,2024-10-01,0,0.0
86.01188974905595,29.35291395837938,6.57003929224031e-05,2024-10-01,0,0.0
95.62132351013834,14.895414990718669,0.0001288710227386,2024-10-01,0,0.0
85.13768703981735,28.086467642898263,9.62501943001074e-05,2024-10-01,38,117.12999999999998
75.63910800973888,29.217812519008383,0.0002437621117971,2024-10-01,5880,30109.449999999997
74.71471585159816,22.881732642104204,0.0001788490182421,2024-10-01,166,467.28999999999996
91.71767242828268,18.63096695993633,0.0001153118551636,2024-10-01,0,0.0
85.39887600287877,16.27892913350821,9.809974412405365e-05,2024-10-01,0,0.0
69.1583814063977,26.942854367999445,0.0001636901135013,2024-10-01,7,32.6
85.36114931042914,13.160764116855503,0.0001029842744662,2024-10-01,0,0.0
80.10562839157068,19.161348313543662,0.0001972328821984,2024-10-01,942,3153.04
90.0589856052306,15.950529079811108,9.382669954272116e-05,2024-10-01,0,0.0
82.8696881696653,11.412627512324626,0.0001016489933348,2024-10-01,0,0.0
83.08912596001078,35.42946922711701,3.616504161789341e-05,2024-10-01,0,0.0
71.92140601964641,14.074057530617477,0.0001443341939782,2024-10-01,0,0.0
69.64794179160563,8.538098513734113,7.955361273210276e-05,2024-10-01,0,0.0
76.00043899742204,8.095210466064191,0.0001232001783091,2024-10-01,1,1.27
69.80201348723824,11.146509432638702,0.0001088784744326,2024-10-01,0,0.0
76.46562847340192,28.80144701760962,0.0002378439635412,2024-10-01,3082,13731.560000000001
89.24847736121323,30.65538355986651,4.536789043677835e-05,2024-10-01,0,0.0
95.74707685158194,29.740511225356688,7.809858595158769e-05,2024-10-01,11,96.91999999999999
73.49730700262599,13.044083572734316,0.0001373277352278,2024-10-01,4,26.9
83.34973609392004,7.14971529041653,0.0001142461073405,2024-10-01,0,0.0
